id,name,brewery_type,street,city,state,postal_code,website_url,phone,longitude,latitude
1,105 West Brewing Co,micro,1043 Park St,Castle Rock,Colorado,80109,http://www.105westbrewing.com,303-325-7321,-104.8667206,39.38269495
2,12Degree Brewing,brewpub,820 Main St,Louisville,Colorado,80027,http://www.12degree.com,303-579-1004,-105.1319826,39.9782443
3,14er Brewing Company,proprietor,2801 Walnut St,Denver,Colorado,80205,http://www.14erBrewing.com,720-773-1437,-104.9839636,39.7614112
4,3 Freaks Brewing Co,micro,7140 E County Line Rd,Highlands Ranch,Colorado,80126,http://www.3freaksbrewery.com,720-299-0994,-104.9426656,39.5659575
5,4B's Brewery,brewpub,215 W Main St,Cedaredge,Colorado,81413,http://www.4bsbrewery.com,970-856-7762,-107.925782,38.900614
6,Alternation Brewing Company,micro,1539 S Broadway,Denver,Colorado,80210,http://www.alternationbrewing.com,303-802-5340,-104.9876117,39.68866374
7,Angry James Brewing Co,micro,421 Adams Ave,Silverthorne,Colorado,80498,http://www.angryjamesbrewing.com,970-455-8800,-106.0764637,39.63306895
8,Animas Brewing Co,brewpub,1560 E 2nd Ave,Durango,Colorado,81301,http://www.animasbrewing.com,970-403-8850,-107.8769912,37.27997215
9,Aspen Brewing Company,micro,404 Aspen Airport Business Ctr,Aspen,Colorado,81611,http://www.aspenbrewingcompany.com,970-920-2739,-106.8597747,39.22153402
10,Atom Brewing Company,micro,654 Moffat St,Erie,Colorado,80516,http://www.atombrewingcompany.com,863-412-0917,-105.0542327,40.0488359
11,Avalanche Brewing Co,brewpub,1067 Blair St,Silverton,Colorado,81433,http://www.avalanchebrewing.com,970-387-5282,-107.664791,37.8098899
12,Banded Oak Brewing Company,brewpub,470 N Broadway,Denver,Colorado,80203,http://Bandedoakbrewing.com,720-479-8033,-104.9874187,39.7282897
13,Barrels & Bottles Brewery,brewpub,600 12th St Ste 160,Golden,Colorado,80401,http://www.barrelsbottles.com,720-328-3643,-105.2202098,39.7562107
14,Beer By Design Brewery,contract,11490 Jackson St,Thornton,Colorado,80233,http://www.beerbydesign.com,303-517-2202,-104.9417886,39.9285623
15,Bierstadt Lagerhaus,brewpub,2875 Blake St,Denver,Colorado,80205,http://www.bierstadtlager.com,720-570-7824,-104.9838084,39.7630094
16,BierWerks,brewpub,121 E. Midland Ave,Woodland Park,Colorado,80863,http://www.bierwerks.com,719-686-8100,-105.0519462,38.9941414
17,Big Choice Brewing Co,micro,21 S 1st Ave,Brighton,Colorado,80601,http://www.bigchoicebrewing.com,303-469-2616,-104.822433,39.98642943
18,BJs Restaurant & Brewery - Boulder,brewpub,1690 28th St,Boulder,Colorado,80301,http://www.bjsrestaurants.com,303-440-5200,-105.258512,40.0291592
19,Black Project Spontaneous & Wild Ales,micro,1290 S Broadway,Denver,Colorado,80210,http://www.blackprojectbeer.com,720-334-2873,-104.9872018,39.6933607
20,Black Shirt Brewing Co,brewpub,3719 Walnut St,Denver,Colorado,80205,http://www.blackshirtbrewingco.com,303-993-2799,-104.9729604,39.7698142
21,Black Sky Brewery,brewpub,490 Santa Fe Dr,Denver,Colorado,80204,http://www.blackskybrewing.com,970-215-4536,-104.9983183,39.7239431
22,Bonfire Brewing,micro,127 W 2nd St,Eagle,Colorado,81631,http://www.bonfirebrewing.com,970-306-7113,-106.82826,39.65531966
23,Bootstrap Brewing Co,micro,6778 N 79th St,Niwot,Colorado,80503,http://www.bootstrapbrewing.com,303-652-4186,-105.1691581,40.09681247
24,Bottom Shelf Brewery,brewpub,118 E Mill St,Bayfield,Colorado,81122,http://www.bottomshelfbrewing.com,970-884-2442,-107.5990683,37.2251348
25,Breckenridge Brewery & Pub,large,600 S Main St,Breckenridge,Colorado,80424,http://www.breckbrewpub.com,970-453-1550,-106.0445665,39.47620392
26,Brew Pub and Kitchen,brewpub,117 W College Dr,Durango,Colorado,81301,http://www.brewpubkitchen.com,970-259-5959,-107.8831549,37.27036464
27,Brewery Rickoli,micro,4335 Wadsworth Blvd,Wheat Ridge,Colorado,80033,http://www.breweryrickoli.com,303-431-6862,-105.0818046,39.7757286
28,Bristol Brewing Co,micro,1604 S Cascade Ave,Colorado Springs,Colorado,80905,http://www.bristolbrewing.com,719-633-2555,-104.827401,38.8108617
29,Brix Taphouse and Brewery,brewpub,813 8th St,Greeley,Colorado,80631,http://www.brixtaphouseandbrewery.com,970-397-6146,-104.6911371,40.42495461
30,BRU Handbuilt Ales and Eats,brewpub,5290 Arapahoe Ave,Boulder,Colorado,80303,http://www.bruboulder.com,720-638-5193,-105.2293345,40.0141462
31,Bull & Bush Brewery,brewpub,4700 E Cherry Creek South Dr,Denver,Colorado,80246,http://www.bullandbush.com,303-759-0333,-104.9488456,39.7116689
32,Burgundian Brewing Co.,micro,4725 Lipan St,Denver,Colorado,80211,http://www.facebook.com/BurgundianBrewing,470-440-0420,-105.0024095,39.7825168
33,Butcherknife Brewing Company,micro,2875 Elk River Rd,Steamboat Springs,Colorado,80487,http://www.butcherknifebrewing.com,970-879-2337,-106.857763,40.510887
34,C.B. and Potts/Big Horn Brewery - Highlands Ranch,brewpub,43 W Centennial Blvd,Highlands Ranch,Colorado,80129,http://www.cbpotts.com,720-344-1200,-104.9887246,39.56211674
35,C.B. and Potts/Big Horn Brewery - Westminster,brewpub,1257 W 120th Ave,Westminster,Colorado,80234,http://www.cbpotts.com,303-451-5767,-105.0040899,39.91376115
36,Call To Arms Brewing Company,micro,4526 Tennyson St,Denver,Colorado,80212,http://www.facebook.com/calltoarmsbrewing,,-105.0435373,39.7788541
37,Carbondale Beer Works,brewpub,647 Main St,Carbondale,Colorado,81623,http://www.carbondalebeerworks.com,,-107.2134909,39.40060712
38,Carver Brewing Co,brewpub,1022 Main Ave,Durango,Colorado,81301,http://carverbrewing.com,970-259-2545,-107.8800415,37.2748415
39,Cerberus Brewing Company,brewpub,702 W Colorado Ave,Colorado Springs,Colorado,80905,http://www.cerberusbrewingco.com,719-636-2337,-104.8374071,38.8330574
40,Cerebral Brewing,micro,1477 Monroe St,Denver,Colorado,80206,http://www.cerebralbrewing.com,303-927-7365,-104.9451783,39.73968253
41,Chain Reaction Brewing Company,micro,902 S Lipan St,Denver,Colorado,80223,http://www.chainreactionbrewingco.com,303-922-0960,-105.001629,39.69879376
42,City Star Brewing,micro,321 Mountain Avenue,Berthoud,Colorado,80513,http://www.citystarbrewing.com,970-532-7827,-105.0809465,40.30505214
43,Cogstone Brewing Co,brewpub,3858 Village Seven Rd,Colorado Springs,Colorado,80917,http://www.cogstonebrewing.com,719-418-6595,-104.75566,38.87959595
44,Colorado Boy Pizzeria,brewpub,320 E Main St,Montrose,Colorado,81401,http://www.coloradoboy.com,970-240-2790,-107.877366,38.47887872
45,Colorado Boy Pub & Brewery,brewpub,602 Clinton St.,Ridgway,Colorado,81432,http://www.coloradoboy.com,970-626-5333,-107.7577685,38.152358
46,Colorado Farm Brewery,micro,2070 County Road 12 S,Alamosa,Colorado,81101,http://www.cofarmbeer.com,719-580-0051,-105.9855918,37.40026048
47,Colorado Mountain Brewery,micro,1110 Interquest Pkwy,Colorado Springs,Colorado,80921,http://www.cmbrew.com,719-271-7951,-104.8083989,38.99103716
48,Colorado Plus,brewpub,6995 W 38th Ave,Wheat Ridge,Colorado,80033,http://coloradoplus.net,303-877-5957,-105.0916384,39.7693524
