id,name,brewery_type,street,city,state,postal_code,website_url,phone,longitude,latitude
1,10 Barrel Brewing Co - Denver,large,2620 Walnut St,Denver,Colorado,80205,,7205738992,-104.9853655,39.7592508
1,10 Barrel Brewing Co - Denver,large,2620 Walnut St,Denver,Colorado,80205,,7205738992,-104.9853655,39.7592508
2,105 West Brewing Co,micro,1043 Park St,Castle Rock,Colorado,80109,http://www.105westbrewing.com,3033257321,-104.8667206,39.38269495
3,12Degree Brewing,brewpub,820 Main St,Louisville,Colorado,80027,http://www.12degree.com,3035791004,-105.1319826,39.9782443
4,14er Brewing Company,proprietor,2801 Walnut St,Denver,Colorado,80205,http://www.14erBrewing.com,7207731437,-104.9839636,39.7614112
5,3 Freaks Brewing Co,micro,7140 E County Line Rd,Highlands Ranch,Colorado,80126,http://www.3freaksbrewery.com,7202990994,-104.9426656,39.5659575
6,300 Suns Brewing Company,brewpub,335 1st Ave Unit C,Longmont,Colorado,80501,http://www.300sunsbrewing.com,,,
7,38 State Brewing,micro,8071 S Broadway Ste A,Littleton,Colorado,80122,http://www.38statebrew.com,7206383678,,
8,4 Noses Brewing Company,micro,8855 W 116th Cir Ste 3,Broomfield,Colorado,80021,http://4nosesbrewing.com,7204602797,,
9,4B's Brewery,brewpub,215 W Main St,Cedaredge,Colorado,81413,http://www.4bsbrewery.com,9708567762,-107.925782,38.900614
10,7 Hermits Brewing Company,brewpub,PO Box 3186,Eagle,Colorado,81631,http://www.7hermitsbrewing.com,9704714979,,
11,Acidulous Brewing Company,contract,6712 S Independence St,Littleton,Colorado,80128,,3039952895,-105.1059543,39.5383949
12,Alpine Dog Brewing Co,micro,1505 N Ogden St,Denver,Colorado,80218,http://www.alpinedogbrewery.com,3038321245,,
13,Alternation Brewing Company,micro,1539 S Broadway,Denver,Colorado,80210,http://www.alternationbrewing.com,3038025340,-104.9876117,39.68866374
14,Amalgam Brewing,proprietor,6381 Beach St Unit A,Denver,Colorado,80221,http://www.amalgambrewing.com,,,
